Row,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13
1000176,7.88406618410954e-06,8.98752739494692e-06,5.03721818334142e-06,-1.86047968382461e-05,8.18803619521413e-06,-3.46333739453365e-06,1.72677495155022e-06,-2.49945868485087e-08,-3.08245347443922e-06,1.89733365876043e-05,-2.63996163859953e-06,9.74420827863743e-06,3.39573758635452e-06
1000223,-6.86672938912514e-06,-1.11875582459345e-05,3.32990519515786e-09,1.06245927654702e-05,2.95448826854659e-06,-3.50922433249113e-06,-2.91641262059732e-06,1.24165248440474e-05,-1.13398381453083e-05,-9.73246175121155e-06,-2.38682046554797e-06,-3.76388647724384e-06,-7.67338541349019e-06
1001086,-3.16621830300631e-05,6.32896092028566e-06,-1.2173778996165e-05,-3.01738940193223e-06,4.00609151626491e-06,-1.10330925362487e-06,-9.0991712148767e-06,-6.69505649012146e-06,2.06298377106083e-06,-1.09088302335129e-05,-1.98723928211998e-06,-2.01465102520891e-06,-3.96807450065559e-06
1002315,-9.74382078009851e-06,1.22706994294708e-06,-3.21807006556163e-06,-7.45004648653549e-06,-4.49358088403771e-06,1.51663123184579e-06,3.09768945249575e-07,9.21942772354121e-06,4.06118500093479e-06,-2.15892387144986e-09,3.22096407131535e-06,-1.05095081448537e-07,-7.53865127198479e-06
1003206,-3.10637554265528e-05,-3.25218566473116e-06,-3.06475911374514e-06,-4.01054257584897e-06,1.81202305730493e-05,6.05701712722853e-08,-4.75432496674127e-06,7.16760086278417e-06,3.19081105932592e-06,4.7470564947784e-06,1.33448453036744e-07,2.63190407389402e-06,-5.94260174834326e-07
1003313,-2.09240197685243e-05,-7.33528725743407e-06,-9.21292271195675e-06,-1.39946240726504e-05,-9.43048352591074e-06,2.08927184702468e-06,5.82761629195696e-06,7.69801492618403e-06,1.32912671838886e-05,-2.82747777037389e-07,-3.96943373403656e-06,4.70495097367235e-06,-5.11513714378314e-06
1005594,2.31762252455608e-06,-2.506112525772e-06,-1.04238812086212e-05,7.82860856379363e-06,-2.12888243829097e-06,-1.24194393004684e-05,3.87313085174071e-06,5.34105399581319e-06,-2.5158790863113e-06,7.99153591912311e-06,8.35378827982565e-06,5.38531130706287e-07,3.84304768049263e-06
1005874,-9.16107524334546e-05,-1.9053149262237e-05,-1.14354400086128e-05,1.36371801741865e-05,6.4288936612279e-06,7.62327995473317e-07,5.61811002594555e-06,9.36952161761655e-06,-6.70766345046999e-06,-8.15381456391701e-06,2.95613520557974e-06,-9.57655770309792e-06,-5.25669727156498e-06
1009895,-6.63447077099873e-05,2.17359238035127e-05,-6.3465735324523e-06,3.98840514438429e-06,1.37433171797776e-05,1.46719414566932e-05,4.14033380893735e-06,-9.76713079377224e-06,4.38791527875984e-06,-7.64941390378197e-06,-1.40176146359653e-05,-1.53596966893102e-06,-4.93590824330862e-06
1012824,-1.82812489926384e-05,-6.75266660987715e-06,3.22683001146506e-06,1.74564086298952e-05,1.21084070484547e-05,1.13102868896179e-05,-1.57249861753172e-05,-1.86927461952153e-06,-3.92352017943045e-06,-1.37438318374661e-05,-5.47569682150239e-06,-8.96328351462683e-06,-4.82560912283245e-06
