reg_CC1,reg_CC2,reg_CC3,reg_CC4,reg_CC5,reg_CC6,reg_CC7,reg_CC8,reg_CC9,reg_CC10,reg_CC11,reg_CC12,reg_CC13,unreg_CC1,unreg_CC2,unreg_CC3,unreg_CC4,unreg_CC5,unreg_CC6,unreg_CC7,unreg_CC8,unreg_CC9,unreg_CC10,unreg_CC11,unreg_CC12,unreg_CC13
0.16325,0.20224,0.18129,0.20002,0.19183,0.20954,0.21219,0.1822,0.18302,0.17893,0.17302,0.17861,0.19528,0.37463,0.34659,0.3444,0.32217,0.31976,0.30682,0.28912,0.27618,0.26834,0.25094,0.24406,0.23745,0.21193
0.21538,0.27877,0.25495,0.25559,0.22672,0.24124,0.22688,0.22555,0.20895,0.21252,0.18852,0.19077,0.21278,0.37861,0.35095,0.33779,0.3199,0.30434,0.29184,0.29066,0.28171,0.26712,0.26055,0.25607,0.23213,0.22848
0.29748,0.31571,0.29584,0.33236,0.26159,0.29719,0.30833,0.28182,0.25995,0.26753,0.28435,0.25479,0.23565,0.36714,0.35848,0.34848,0.33395,0.31623,0.29816,0.28472,0.27476,0.26956,0.24824,0.23886,0.23313,0.22219
0.15906,0.21334,0.23401,0.22866,0.20115,0.19083,0.19879,0.17927,0.20286,0.19893,0.18284,0.18866,0.15376,0.39147,0.35903,0.3433,0.33118,0.31877,0.30104,0.29242,0.27939,0.26839,0.24167,0.23751,0.22292,0.22059
0.21874,0.26558,0.27497,0.26817,0.26391,0.24976,0.24704,0.24515,0.23196,0.18264,0.20349,0.21597,0.16862,0.37495,0.35555,0.32982,0.32635,0.31359,0.30712,0.298,0.28538,0.26103,0.25446,0.24672,0.2269,0.21539
0.3013,0.34374,0.29695,0.31034,0.29307,0.29555,0.28479,0.28526,0.26267,0.2554,0.25889,0.26335,0.23418,0.36306,0.34834,0.33231,0.32392,0.31164,0.30294,0.27887,0.27742,0.27105,0.26065,0.25194,0.22871,0.21492
0.163,0.21155,0.20036,0.21364,0.1897,0.19834,0.18045,0.20822,0.19232,0.17487,0.1652,0.17031,0.16462,0.3826,0.35923,0.32645,0.30943,0.30081,0.29056,0.27115,0.26538,0.25647,0.2455,0.23783,0.22746,0.21105
0.26858,0.3339,0.30243,0.32482,0.29258,0.31683,0.31488,0.26225,0.2629,0.23806,0.23915,0.24553,0.23947,0.36093,0.35515,0.33503,0.32877,0.30955,0.29294,0.28241,0.26941,0.25969,0.23906,0.23449,0.2275,0.21752
0.1577,0.1959,0.22345,0.23099,0.21896,0.19899,0.21698,0.17894,0.18432,0.21759,0.20188,0.18647,0.17849,0.37929,0.3628,0.35657,0.34092,0.32693,0.30659,0.29796,0.28553,0.27312,0.26819,0.25928,0.23824,0.22928
0.27079,0.32703,0.29009,0.29223,0.26546,0.2766,0.26889,0.26712,0.25669,0.23398,0.25499,0.23776,0.22038,0.37982,0.35032,0.33332,0.31911,0.311,0.29892,0.27526,0.26841,0.25099,0.24902,0.23978,0.23336,0.22467
0.33477,0.31765,0.31255,0.31029,0.27855,0.27331,0.26464,0.26052,0.24713,0.23836,0.23117,0.22553,0.20864,0.37127,0.34183,0.33759,0.33188,0.30061,0.29984,0.28751,0.27347,0.25585,0.2406,0.23865,0.23232,0.21817
