reg_CC1,reg_CC2,reg_CC3,reg_CC4,reg_CC5,reg_CC6,reg_CC7,reg_CC8,reg_CC9,reg_CC10,reg_CC11,reg_CC12,reg_CC13,unreg_CC1,unreg_CC2,unreg_CC3,unreg_CC4,unreg_CC5,unreg_CC6,unreg_CC7,unreg_CC8,unreg_CC9,unreg_CC10,unreg_CC11,unreg_CC12,unreg_CC13
0.57158,0.55728,0.55694,0.56331,0.55239,0.54791,0.49509,0.54919,0.5387,0.53281,0.54244,0.53483,0.54743,0.96604,0.96033,0.95599,0.95222,0.9505,0.94739,0.94538,0.94121,0.93987,0.93686,0.93578,0.92346,0.92006
0.96454,0.96428,0.96205,0.95662,0.95497,0.95279,0.94809,0.94554,0.94404,0.94075,0.93698,0.92932,0.92661,0.96459,0.96433,0.96208,0.95685,0.95491,0.95272,0.94817,0.94562,0.9439,0.94068,0.93693,0.92933,0.92649
0.1456,0.22107,0.30276,0.27456,0.27371,0.30915,0.28304,0.33085,0.25613,0.32839,0.29018,0.35076,0.32853,0.9697,0.96594,0.95805,0.95697,0.95478,0.94914,0.94682,0.94223,0.94139,0.93537,0.93089,0.929,0.91816
0.15277,0.23517,0.27494,0.32024,0.3247,0.33959,0.33452,0.31089,0.34867,0.38369,0.34845,0.35314,0.31917,0.96484,0.9642,0.95878,0.95768,0.95388,0.94982,0.94892,0.94787,0.93938,0.93778,0.92989,0.92516,0.91915
0.1637,0.24905,0.25719,0.29337,0.33611,0.31976,0.29241,0.29593,0.29051,0.32708,0.29861,0.36901,0.37058,0.96878,0.96256,0.95706,0.95651,0.95242,0.94989,0.94744,0.94252,0.93702,0.93299,0.9308,0.92848,0.92437
0.24932,0.37595,0.43935,0.37427,0.37212,0.37016,0.39554,0.41308,0.4031,0.38702,0.36398,0.40181,0.38581,0.96429,0.96032,0.96004,0.95675,0.95165,0.94855,0.94707,0.9421,0.93848,0.93295,0.92574,0.92422,0.91577
0.58471,0.5491,0.55989,0.51588,0.54685,0.52803,0.54863,0.55824,0.56428,0.52348,0.54447,0.53862,0.53884,0.96532,0.96197,0.96082,0.95813,0.95529,0.95191,0.94763,0.94407,0.94137,0.93191,0.92789,0.92451,0.91003
0.15394,0.22507,0.27123,0.32188,0.35566,0.29041,0.30121,0.32269,0.37415,0.32566,0.34697,0.35954,0.32738,0.96879,0.96581,0.95981,0.95732,0.95408,0.95366,0.95118,0.9445,0.94136,0.93509,0.92841,0.92404,0.92001
0.58239,0.5718,0.54539,0.55374,0.57447,0.53404,0.53404,0.52833,0.53045,0.5351,0.5402,0.5192,0.52904,0.96686,0.96157,0.95836,0.95433,0.95219,0.94829,0.94807,0.93995,0.93808,0.93419,0.92998,0.92305,0.91807
0.25065,0.38538,0.38677,0.38164,0.37204,0.36241,0.37973,0.41328,0.34672,0.39374,0.33235,0.39376,0.38616,0.9706,0.96371,0.96009,0.95582,0.95157,0.94931,0.94551,0.94358,0.94048,0.93721,0.93344,0.92686,0.92504
0.94772,0.95339,0.94291,0.95254,0.94088,0.95085,0.93798,0.94735,0.95065,0.94543,0.94277,0.94374,0.93527,0.96476,0.96123,0.96002,0.95568,0.95378,0.9514,0.94857,0.94234,0.93928,0.93699,0.93323,0.92667,0.92059
0.25843,0.37446,0.3421,0.39163,0.39641,0.37891,0.39196,0.35571,0.38746,0.37796,0.38169,0.36163,0.39295,0.96388,0.95885,0.95638,0.95428,0.95164,0.94867,0.94724,0.94195,0.9375,0.92796,0.92655,0.92547,0.91412
0.25057,0.35914,0.43817,0.36782,0.39824,0.35307,0.40687,0.3874,0.3836,0.39513,0.38595,0.4019,0.39479,0.96227,0.9613,0.95709,0.9558,0.95032,0.94739,0.94651,0.94377,0.93943,0.93897,0.92778,0.92733,0.9154
0.74871,0.74179,0.75629,0.766,0.76244,0.75704,0.76725,0.74177,0.74553,0.73484,0.75965,0.75056,0.74393,0.96805,0.96439,0.95959,0.95851,0.95302,0.95122,0.95023,0.94699,0.94472,0.94062,0.93743,0.93191,0.92265
0.93999,0.95417,0.94518,0.94853,0.94406,0.94801,0.94337,0.94149,0.94148,0.94492,0.94907,0.9499,0.94047,0.96444,0.96319,0.95919,0.95493,0.95079,0.95023,0.94936,0.94449,0.94137,0.93731,0.93022,0.92533,0.92303
0.77842,0.7677,0.76448,0.76454,0.76444,0.75287,0.74835,0.74648,0.73973,0.73176,0.71561,0.72456,0.70774,0.96691,0.95946,0.95842,0.95662,0.95622,0.95016,0.94855,0.94308,0.94113,0.93681,0.93456,0.9331,0.92
0.93323,0.95095,0.94193,0.95283,0.94436,0.94729,0.94415,0.94866,0.93657,0.9484,0.94679,0.94272,0.93765,0.96709,0.96035,0.95902,0.95748,0.95329,0.94922,0.94544,0.94293,0.94144,0.933,0.92761,0.92225,0.92018
0.96429,0.962,0.96002,0.95582,0.95355,0.95023,0.94785,0.94458,0.93995,0.93724,0.93379,0.93064,0.91996,0.96429,0.962,0.96002,0.95582,0.95355,0.95023,0.94785,0.94458,0.93995,0.93724,0.93379,0.93064,0.91996
0.90249,0.89454,0.88983,0.89043,0.8828,0.88828,0.87742,0.87394,0.87306,0.87336,0.86577,0.86163,0.85059,0.96407,0.96144,0.96102,0.95483,0.95165,0.94916,0.94646,0.94292,0.94045,0.93598,0.93269,0.93005,0.9265
0.88937,0.87387,0.88243,0.8779,0.88071,0.88303,0.87862,0.86714,0.87775,0.87696,0.88294,0.87656,0.86401,0.96358,0.9605,0.95735,0.95491,0.95382,0.94952,0.94451,0.94214,0.93469,0.93111,0.92997,0.92721,0.91957
0.94315,0.95602,0.94413,0.94729,0.93671,0.94098,0.95428,0.95104,0.94984,0.93934,0.93713,0.95313,0.94119,0.96827,0.96257,0.95985,0.95578,0.95215,0.94893,0.94632,0.94368,0.94177,0.93553,0.93192,0.92596,0.92433
0.93422,0.94911,0.94379,0.95243,0.94921,0.95139,0.95006,0.93816,0.95053,0.94635,0.94119,0.94888,0.94064,0.96699,0.96252,0.95649,0.95578,0.9542,0.94783,0.94637,0.94402,0.93866,0.93614,0.93193,0.9291,0.9284
0.25057,0.38698,0.39561,0.41529,0.36741,0.37912,0.366,0.37782,0.3654,0.38007,0.38185,0.38558,0.38705,0.96678,0.96249,0.96129,0.95971,0.95733,0.95296,0.94882,0.94433,0.9372,0.93388,0.92525,0.92342,0.91416
0.89243,0.87475,0.86307,0.88411,0.87591,0.88267,0.87232,0.87694,0.88556,0.87576,0.87171,0.86783,0.85832,0.96591,0.96279,0.95797,0.954,0.95005,0.94485,0.94394,0.94015,0.93901,0.93359,0.93004,0.92521,0.91241
0.15137,0.2423,0.27949,0.29154,0.34384,0.34858,0.38489,0.33722,0.37025,0.37303,0.36239,0.35172,0.32966,0.96753,0.96503,0.96089,0.95653,0.95397,0.95164,0.94571,0.94287,0.93826,0.93582,0.93159,0.92751,0.92455
0.48937,0.55436,0.55014,0.5413,0.54332,0.55046,0.55361,0.53959,0.54361,0.54306,0.55508,0.54934,0.53534,0.96215,0.95906,0.95608,0.95522,0.95057,0.94877,0.94546,0.9432,0.9395,0.93857,0.92717,0.91888,0.91517
0.58588,0.58685,0.5647,0.55377,0.53924,0.56317,0.55471,0.55435,0.54344,0.53628,0.50378,0.54945,0.5309,0.96496,0.95983,0.95697,0.9516,0.94854,0.94392,0.94304,0.93665,0.93592,0.93453,0.93272,0.92513,0.9105
0.57389,0.55205,0.56123,0.54569,0.53267,0.5485,0.56141,0.49673,0.52842,0.52707,0.5203,0.50895,0.53534,0.96295,0.96201,0.9598,0.95579,0.95205,0.94948,0.94913,0.94582,0.94334,0.93893,0.93543,0.92421,0.9179
0.86804,0.89092,0.88044,0.87416,0.88683,0.87826,0.88117,0.88474,0.87844,0.87281,0.87504,0.87817,0.88092,0.96722,0.96307,0.96213,0.96014,0.95435,0.95136,0.94438,0.94276,0.94006,0.93459,0.93246,0.92174,0.91195
0.79181,0.75919,0.76999,0.73981,0.75378,0.76107,0.74673,0.75905,0.75612,0.73685,0.74492,0.73623,0.73263,0.96306,0.96144,0.95721,0.95263,0.95025,0.9497,0.94748,0.94375,0.93734,0.93352,0.9322,0.92805,0.92029
0.96692,0.96328,0.9586,0.95817,0.95476,0.95194,0.94906,0.93838,0.93612,0.93526,0.93186,0.92749,0.91991,0.96695,0.96342,0.95881,0.95805,0.95466,0.95193,0.9491,0.93835,0.93632,0.93508,0.93183,0.92742,0.91984
0.1567,0.27675,0.38623,0.26385,0.29887,0.30701,0.3336,0.30346,0.3297,0.34762,0.28326,0.37932,0.3442,0.96903,0.96165,0.96007,0.95611,0.95133,0.94916,0.9447,0.94397,0.93738,0.93264,0.93083,0.92613,0.9253
0.29225,0.31266,0.40715,0.36129,0.40328,0.40519,0.40118,0.40129,0.3774,0.40819,0.40455,0.39447,0.37281,0.96413,0.96277,0.96115,0.95585,0.95342,0.95121,0.94437,0.94124,0.93958,0.93744,0.93507,0.92803,0.92138
0.25348,0.37173,0.36776,0.40274,0.37533,0.37443,0.38117,0.3697,0.37674,0.39589,0.37345,0.37147,0.38531,0.96346,0.96156,0.96086,0.95468,0.95311,0.94804,0.94481,0.94136,0.93715,0.93494,0.9308,0.92958,0.92557
0.14507,0.22842,0.33653,0.30366,0.23844,0.245,0.25792,0.28893,0.29461,0.31079,0.31935,0.32936,0.36675,0.96675,0.96538,0.9609,0.95413,0.95282,0.94706,0.94507,0.94244,0.94152,0.93723,0.92972,0.92756,0.91131
0.14849,0.26276,0.26765,0.26829,0.23401,0.24864,0.24592,0.28825,0.31657,0.31149,0.24444,0.32932,0.32255,0.9653,0.96166,0.95924,0.95416,0.95311,0.94709,0.94488,0.94301,0.93702,0.93379,0.93269,0.92927,0.92115
0.14995,0.25927,0.30677,0.26678,0.32854,0.28168,0.33421,0.28459,0.3015,0.34901,0.25881,0.3567,0.35103,0.96352,0.96185,0.95993,0.9557,0.95288,0.94952,0.94842,0.94598,0.94294,0.9372,0.93281,0.92861,0.92377
0.14625,0.25046,0.27714,0.27559,0.27089,0.27267,0.30011,0.32489,0.25942,0.39587,0.30258,0.35771,0.30982,0.96461,0.96245,0.95934,0.95685,0.94906,0.94646,0.94288,0.94188,0.93676,0.93552,0.9322,0.92764,0.92509
0.27968,0.39202,0.34282,0.39601,0.43145,0.39787,0.3825,0.38753,0.36687,0.39798,0.42175,0.40439,0.37392,0.96568,0.95849,0.95468,0.95415,0.95177,0.94792,0.94595,0.94348,0.9405,0.93822,0.93523,0.92603,0.92198
0.5046,0.57476,0.55406,0.5677,0.55419,0.55029,0.55707,0.54182,0.55189,0.53613,0.55346,0.54091,0.53452,0.96395,0.96337,0.96036,0.95613,0.95468,0.95131,0.94602,0.9445,0.93803,0.93645,0.93392,0.92915,0.92486
0.24629,0.36824,0.3952,0.39656,0.3557,0.35418,0.40974,0.37933,0.38806,0.40004,0.39189,0.39781,0.36822,0.96515,0.96082,0.9588,0.95528,0.95511,0.95052,0.94658,0.94378,0.93932,0.93534,0.92831,0.92383,0.9173
0.15639,0.21011,0.37029,0.34319,0.31466,0.28979,0.33862,0.32155,0.34771,0.36295,0.35628,0.33152,0.37249,0.96458,0.96092,0.95901,0.95699,0.95573,0.94991,0.94676,0.94494,0.9409,0.93736,0.93255,0.93123,0.91354
0.89001,0.8705,0.87702,0.87799,0.86799,0.88636,0.88145,0.87019,0.87705,0.87277,0.8792,0.86398,0.86078,0.96611,0.9606,0.95751,0.95722,0.95103,0.94528,0.94335,0.94068,0.93905,0.93583,0.93039,0.92953,0.91836
